cell_id,dataset_protocol,selection,aggregation,model_attack,reported_utility,beta,seed,rounds,role,expected
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,42,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,123,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed777,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,777,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed2026,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,2026,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed3407,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,3407,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed11,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,11,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed314,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,314,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed2718,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,2718,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed9001,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,9001,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__clean__honest__seed2027,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,clean,honest,,2027,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__label-flip__honest__seed42,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,label-flip,honest,,42,30,core_12_cell_factorial,1
ROB__CICIDS2017_COVERAGE_R1__Full-Contextual__FedAvg__label-flip__honest__seed123,CICIDS2017_COVERAGE_R1,Full-Contextual,FedAvg,label-flip,honest,,123,30,core_12_cell_factorial,1
