claim_id,claim,evidence,status,r5_wording
C1,CB-Score preserves F1 relative to Full under selected-update budgets.,"NI gates, threshold sensitivity",SUPPORTED_ONLY_UNDER_METHOD_SPECIFIC_CALIBRATION,"On CICIoT2023, F1 non-inferiority was met for beta 0.2–1.0 only under method-specific validation-locked thresholds; all six CICIoT cells were inconclusive under shared-Full and fixed-0.5 thresholds. Present this as calibrated operating-point preservation, not threshold-invariant preservation."
C2,CB-Score preserves PR-AUC relative to Full.,PR-AUC NI gates,SUPPORTED_WITH_BOUNDARY,"On CICIoT2023, PR-AUC non-inferiority was met for beta 0.2–1.0; beta 0.1 was inconclusive. CICIDS2017 absolute PR-AUC is below attack prevalence, so relative NI cannot support a practical detection claim."
C3,"CB-Score is superior to same-budget Utility-Only, Utility/Cost, and Oort-style baselines.",72 same-budget hypotheses,NOT_SUPPORTED,All same-budget superiority tests were inconclusive after Holm correction; no superiority claim is permitted.
C4,CB-Score provides an FPR safety guarantee relative to Full.,FPR safety gates across three threshold analyses,NOT_SUPPORTED,Method-specific FPR safety was not established at any beta. Shared/fixed analyses met only selected cells; use descriptive FPR reporting without a general safety claim.
C5,Selected-update budgets reduce communication.,paired communication accounting,SUPPORTED,Selected uplink and E2E communication decline materially at lower beta; report paired percentages and distinguish uplink-only from broadcast/unicast E2E accounting.
C6,The pre-upload utility proxy predicts actual post-aggregation validation gain.,proxy correlation analysis,MIXED_CONSTRUCT_VALIDITY,"CB proxy_mean showed positive Pearson association at several budgets, but Spearman rank validity was inconsistent—especially on CICIoT2023 for beta 0.2–1.0. Treat the proxy as a heuristic ranking signal, not a calibrated or universally rank-consistent predictor of realized aggregate gain."
C7,The method is robust to label-flip/sign-flip and forged utility.,360 robustness cells,SUPPORTED_ONLY_AS_BOUNDED_STRESS_TEST,"Report factorial degradation, malicious-selection rate, and aggregation effects. Do not claim Byzantine robustness; norm clipping is only a bounded averaging defense."
C8,Metadata minimization provides privacy.,480 attacker evaluations,NO_FORMAL_PRIVACY_CLAIM,Report empirical attribute-inference AUC by view and attacker. Metadata minimization can reduce some leakage but does not provide a formal privacy guarantee.
C9,CICIDS2017 coverage-preserving results confirm IDS effectiveness.,absolute F1/PR-AUC/ROC-AUC,NOT_SUPPORTED,"CICIDS2017 coverage-preserving performance is an explicit negative-result/generalization limitation, not confirmatory effectiveness evidence."
C10,R4 runtime was measured on Dell PowerEdge R750xs.,actual environment record,FALSE_REMOVE,R4 ran CPU-only on an HP Pavilion laptop with Intel Core i3-1215U and 7.676 GB RAM. Dell hardware must not be attributed to R4 runtime.
