cell_id,dataset_protocol,method,beta,seed,rounds,role,expected
FEATURE__CICIDS2017__remove10__Full-Contextual__seed42,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,42,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed123,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,123,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed777,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,777,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed2026,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,2026,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed3407,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,3407,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed11,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,11,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed314,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,314,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed2718,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,2718,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed9001,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,9001,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__Full-Contextual__seed2027,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,Full-Contextual,NA,2027,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed42,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,42,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed123,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,123,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed777,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,777,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed2026,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,2026,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed3407,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,3407,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed11,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,11,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed314,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,314,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed2718,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,2718,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed9001,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,9001,30,ten_feature_removal_sensitivity,1
FEATURE__CICIDS2017__remove10__CB-Score__seed2027,CICIDS2017_COVERAGE_R1_REMOVE_FLAGGED10,CB-Score,0.4,2027,30,ten_feature_removal_sensitivity,1
